title,price,unit,description
,"
	2.49
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,"
	0.99
	","
Per pak",Keuze uit Comfort (hypoallergeen) en sensitive (0% parfum). 
,"
	1.29
	","
200-ml","Keuze uit Attraction, Cool, Sensitive Active en Defense."
,"
	1.29
	","
200-ml","Keuze uit: Ultra Fresh, Sensitive Care, Pure Basic en Comfort Dry"
,"
	0.99
	","
50-ml",Keuze uit:
,"
	1.99
	","
500-ml",Keuze uit rijke bodymilk met amandelolie en vitamine E voor de droge huid en hydraterende bodylotion met avocado-olie en Vitamine E voor de normale huid.
,"
	1.89
	","
500-ml",De milde verzorging voor gezicht &amp; lichaam. Keuze uit zeepvrij en parfumvrij.
,"
	0.82
	","
300-ml","Keuze uit Spa sensation: jasmijnextract &amp; minerale zouten, Fun sensation: extracten van mango &amp; gemberolie en Complete relax: oranjebloesem &amp; essentiële lavendelolie."
,"
	0.99
	","
300-ml","Creamshower met melkeiwitten en honing, kamill-extract of avocado-olie."
,"
	1.39
	","
1-l","Voor heerlijk geurend en zacht schuim. Keuze uit  rozen-dromen, droom-lagune en melk&amp;honing."
,"
	0.99
	","
300-ml","Douchegel en shampoo in één. Voor mannen. Keuze uit Classic, Sport en Cool."
,"
	0.89
	","
500-ml","Sensitive, melk &amp; honing of grapefruit."
,"
	1.99
	","
125-ml",Keuze uit drie soorten:
,"
	1.19
	","
500-ml",Vermindert tandplak en is een nuttige aanvulling op de dagelijkse mond- en tandverzorging. Keuze uit Zero en X-fresh.
,"
	0.69
	","
125-ml",Keuze uit:
,"
	1.29
	","
Per stuk","2-pack tandenborstels in diverse kleuren. Keuze uit: baby tandenborstel: 0-2 jaar, kinder tandenborstels: 2-6 jaar of junior tandenborstels: 6+."
,,"
75-ml",De Oral-B 1-2-3 Mint Tandpasta is een frisse tandpasta met een heerlijke mintsmaak. De tandpasta is perfect voor de dagelijkse verzorging van uw gebit. Door de toevoeging van fluoride wordt het glazuur van uw tanden harder gemaakt en zal uw gebit beschermt worden tegen gaatjes.
,,"
32 stuks",Normaal of Super.
,"
	0.79
	","
100-ml",Tandpasta voor kinderen. Helpt beschermen tegen gaatjes.
,"
	1.09
	","
Per pak",Voor een langdurig fris gevoel met een katoenzacht bovenlaagje. Sterk absorberende kern. Keuze uit geparfumeerd of ongeparfumeerd. 45 stuks.
,"
	1.19
	","
2-pack","Keuze uit extra zacht, medium en zacht. 2 stuks."
,"
	1.09
	","
Per pak","Voor een discrete, hygienische en comfortabele bescherming met een katoenzacht bovenlaagje. Sterk absorberende kern. Keuze uit extra large fresh, geparfumeerd (26 stuks) of large, ongeparfumeerd (35 stuks)."
,"
	4.99
	","
Per pak",Medium (12 stuks) of large (10 stuks).
,"
	0.99
	","
Per pak",Bijzonder zacht en comfortabel dankzij de anatomische vorm. Normaal verband 20 stuks of nachtverband 15 stuks.
,"
	0.99
	","
Per pak",Keuze uit normaal en super.  32 stuks. 
,"
	1.99
	","
Per pak","Keuze uit long, mini en ultra normal. 16, 20 of 22 stuks. "
,"
	0.99
	","
Per pak",Keuze uit: nacht met vleugels (12 stuks) en super met vleugels (14 stuks).
,"
	1.99
	","
Per pak",Keuze uit:
,"
	0.99
	","
Per pak",Keuze uit normaal (20 stuks) en normaal met vleugels (18 stuks).
,"
	2.99
	","
Per stuk","Keuze uit  omega 3, energie &amp; weerstand en magnesium."
,"
	1.99
	","
15-ml",<b>Omschrijving</b>
,"
	3.79
	","
50 g.",<b>Omschrijving</b>
,"
	0.71
	","
10 tabletten.",<b>Omschrijving</b>
,"
	0.50
	","
20 tabletten.",<b>Omschrijving</b>
,"
	12.49
	","
5-pack",COVID-19 Test 5-pack.Een snelle test voor de opsporing van SARS-CoV-2-antigenen in neusspecimens. 
,"
	2.89
	","
Per stuk",COVID-19 Test.Een snelle test voor de opsporing van SARS-CoV-2-antigenen in neusspecimens.
,"
	0.99
	","
150-ml",Keuze uit:
,"
	0.99
	","
300-ml","Douchegel en shampoo in één. Voor mannen. Keuze uit Classic, Sport en Cool."
,"
	0.89
	","
300-ml",Keuze uit:
,"
	1.99
	","
600 g",Voor de speltliefhebber gemaakt van 100% spelt.
,"
	1.89
	","
600 g",Met volkorenmeel. De rijkst gevulde in zijn soort.
,"
	1.79
	","
600 g",Klassiek witbrood gemaakt met desem voor extra karakter.
,"
	1.89
	","
600 g",100% volkorenbrood met extra veel vezels.
,"
	2.49
	","
0.75 l",Zomerse wijncocktail met bubbels en de smaak van watermeloen. Lekker met veel ijs.
,"
	3.99
	","
0.75-l-Per fles","Best Getest volgens Jan Magazine, december 2018."
,"
	1.99
	","
0.75-l-Per fles","Aromatische, licht mousserende wijncocktail met een verleidelijk zoetje."
,"
	1.99
	","
0.75 l",Wijncocktail met lichte bubbels. Keuze uit limoen en rosé.
,"
	3.99
	","
0.75 l",Spanje
,"
	5.59
	","
700 g",700 g.
,"
	1.65
	","
2 x 100 g",2 x 100 g.
,"
	2.69
	","
4 x 100 g",4 stuks.
,"
	1.80
	","
Ca. 200 g",2 stuks.
,"
	3.99
	","
4 x 125 g",Texas style. 4 stuks.
,"
	0.81
	","
200-ml",Een heerlijke basis voor currygerechten of geeft een lekkere exotische smaak aan fruitshakes. Ook geschikt als een verrassend alternatief  voor slagroom.
,"
	0.69
	","
280-g","Halve zongedroogde tomaten in olie, heerlijk voor o.a. salades en tapenades."
,"
	1.80
	","
420-g",6 x 70 g.
,"
	1.49
	","
400-g","Frisse salade van komkommer, selderij, wortel, prei en ui. "
,"
	1.49
	","
500-g","Couscous, de basis voor vele specialiteiten uit het oosten. Ook lekker als maaltijdsalade."
,"
	1.19
	","
320-370-g",Keuze uit 8 meergranen wraps Ø20 cm en 6 volkoren wraps Ø25 cm.
,"
	0.92
	","
320-370 g",Keuze uit 6 wraps Ø25 cm en 8 wraps Ø20 cm. Tortilla wraps op basis van tarwebloem. Koud of warm te gebruiken. 
,"
	2.56
	","
250 ml","Agavesiroop van Mama Nature is 100% biologisch. De siroop is afkomstig van de biologisch geteelde agaveplant uit Mexico. Agavesiroop is een smakelijk alternatief voor bijvoorbeeld suiker en zoetjes. Door de lichte en milde smaak is agavesiroop op veel verschillende manieren te gebruiken; bijvoorbeeld in koffie of thee, ontbijtgerechten, toetjes of bij het bakken van zoete lekkernijen. Agavesiroop heeft een hogere zoetkracht dan suiker, waardoor je er minder van nodig hebt. "
,"
	0.99
	","
500-g",Bij uitstek geschikt voor het zoeten van warme dranken of bij de bereiding van gebak.
,"
	0.27
	","
120-g",15 x 8 g.
,"
	0.49
	","
400-g","Eenvoudig te bereiden, nieuw receptuur. Voor ca. 12 pannekoeken."
,"
	1.69
	",,"Keuze uit fondant, stiften en dispensers. Om uw taart nog mooier te maken."
,"
	1.89
	","
560-g",Keuze uit kersen en aardbeien.
,"
	1.94
	","
395-g",Keuze uit aardbei en naturel.
,"
	0.69
	","
400-g",Bindmiddel.
,"
	1.89
	","
150-g",Vissalades in de smaken garnaal-surimi en tonijn. 
,"
	1.59
	","
500-g ",Heerlijke rozijnen. Lekker in yoghurt of kwark.
,"
	1.19
	","
200-g","Keuze uit beenham-mosterd, pittige kip, kipsaté, en Surinaamse ei."
,,"
Per 6 stuks",Zoetzure appels. 6 stuks.
,"
	1.89
	","
170-g",Keuze uit bacon ei en spicy chicken.
,"
	1.99
	","
170-g",Keuze uit chicken tandoori en tonijn.
,,"
2 kg",2 kg.
,"
	1.69
	","
2 x 150 g",Keuze uit paprika-olijf en knoflook-mozzarella.
,"
	1.29
	","
200-g",Broodje hotdog met ketchup.
,"
	2.69
	","
400-g-Per pak",Keuze uit groenten lasagne met courgette en aubergine of lasagne met gerookte zalm en spinazie.
,"
	2.69
	","
400 g",Keuze uit lasagne met kip en champignons en lasagne met pittig rundvlees. 
,"
	0.65
	","
500-g","Keuze uit wit, spelt-volkoren en meergranen."
,"
	1.75
	","
400-g",Lasagne Bolognese met hamreepjes of lasagne verde met hamreepjes en spinazie.
,"
	2.69
	","
1-kg",1 kg. 
,"
	1.69
	","
415-g",Oud Hollandse poffertjes. 50 stuks.
,"
	1.99
	","
400 g",Macaroni ham-kaas of spaghetti bolognese.
,"
	1.89
	","
250-g","Keuze uit 4-kazen, tomaat-mozarella en basilicum-pesto."
,"
	1.99
	","
250 g",Keuze uit:
,"
	1.79
	","
250-g",Vissalades in de smaken krab-surimi en zalm. De luxe vissalades zijn gegarneerd.
,"
	2.59
	","
300-g","Keuze uit zalm &amp; broccoli, tomaat &amp; mozarella, lorraine en prei &amp; spek. "
,"
	2.99
	","
1 kg ","Keuze uit andijvie, boerenkool en zuurkool met spekjes en de vegetarische hutspot."
,"
	3.29
	","
500-g","Keuze uit runderhachee, rode kool en aardappelpuree, cordon bleu met spinazie a la crème en aardappel of hamburger met jus, sperziebonen en aardappel."
,"
	3.29
	","
500-g","Keuze uit runderlapje met stoofpeertjes en aardappelpuree, rundergehaktbal met bloemkool en aardappel of kipfilet met stroganoffsaus, sperziebonen en aardappel."
,"
	2.89
	","
500-g",2-vaks. Keuze uit:
,"
	2.99
	","
500-g","Keuze uit kip teriyaki, babi ketjap, kip zoetzuur en foe yong hai zonder vlees."
,"
	2.99
	","
500 g ",Keuze uit Babi Pangang bami goreng en nasi goreng en Saté ajam bami goreng en nasi goreng.
,"
	2.99
	","
450-g","Foe yong hai zonder vlees, in de wok gebakken ei met groenten in een zoetzure saus. Saté ajam met stukjes kip in satésaus. "
,"
	3.49
	","
800 g","Kant-en-klaarmaaltijden om op te warmen in magnetron, koekenpan, wok of oven. "
,"
	2.99
	","
500-g","Keuze uit Thaise rode curry, kip tandoori en kip tikka masala."
,"
	1.99
	","
150 g","Keuze uit zongedroogde tomaat, Sweet peppers en Yellow peppers. "
,"
	1.50
	","
190-g","Mix van cantaloupe, gele meloen en watermeloen. Vers gesneden fruit, klaar voor gebruik."
,"
	0.99
	","
200-g","Knapperige ijsbergsla met radicchio sla, witte kool en wortel. "
,"
	1.50
	","
190 g","Deze verse salade bestaat uit zorgvuldig geselecteerde stukjes mango, appel, ananas en druiven.﻿"
,"
	1.39
	","
400-g","Extra fijngesneden wortel, prei, selderij en bloemkool."
,"
	0.99
	","
200-g",Knapperig en heerlijk fris van smaak.
,"
	1.79
	","
400-g","Mix van witte kool, paprika, soerziebonen, prei en taugé."
,"
	1.79
	","
400-g","Mix van champignons, prei, rode ui en peterselie."
,"
	1.79
	","
150 g","Heerlijke mix van batavia, romana, rucola en jonge bladspinazie."
,"
	1.79
	","
400-g","Mix van prei, paprika, wortel, rode ui en courgette."
,"
	1.49
	","
450-g","Mix van prei, rode ui, groene, gele en rode paprika."
,"
	1.49
	","
450-g","Mix van verse prei, taugé, witte kool, spitskool, rode ui, wortel en een rood pepertje."
,"
	1.49
	","
400-g",Salade van knapperige wortel en kool met zoete stukjes ananas. 
,"
	1.99
	","
400-g",Klaar om te koken of roerbakken.
,,"
500-g ",Voorgekookt.
,,"
Per stuk",1 stuk.
,,"
3 stuks",3 stuks.
,,"
Per stuk",1 stuk.
,"
	1.25
	","
400-g","Direct klaar voor gebruik om te roerbakken, voor in een salade, stamppot of hartige taart."
,,"
500 g",500 g.
,,"
Per stuk",1 stuk.
,"
	0.89
	","
100-g",Smaakvolle garnalen snack.
,"
	0.89
	","
125-g",Knapperige cassave met een milde pittige smaak.
,"
	1.29
	","
4 x 125 g",Oerhollands lekkere instant aardappelpuree met een vleugje nootmuskaat.
,"
	0.71
	","
95-g","Keuze uit uitjes, naturel en rundvlees. 5-pack."
